SampleID	libType	extID	libID	sampleName	ID	sampleNumber	sampleType	samplePool	samplingTime	sampleDiet	samplingTank	New_Diet
MQ211210-174	abV4-C	EXT-CP925-159	LIB-CP925-159-A-1	T2-mn3-tk1-HGm05	T2_mn3_tk1_05	5	sample	high	T2	MN3	tk1	MN3
MQ211210-68	abV4-C	EXT-CP925-64	LIB-CP925-64-A-1	T3-mc1-tk2-HGm01	T3_mc1_tk2_01	1	sample	high	T3	MC1	tk2	MC1
MQ211210-114	abV4-C	EXT-CP925-110	LIB-CP925-110-A-1	T2-mc1-tk2-HGm03	T2_mc1_tk2_03	3	sample	low	T2	MC1	tk2	MC1
MQ211210-89	abV4-C	EXT-CP925-85	LIB-CP925-85-A-1	T3-ctr-tk3-HGm05	T3_ctr_tk3_05	5	sample	low	T3	CTR	tk3	CTR
MQ211210-32	abV4-C	EXT-CP925-30	LIB-CP925-30-A-1	T3-ctr-tk3-HGm01	T3_ctr_tk3_01	1	sample	low	T3	CTR	tk3	CTR
MQ211210-123	abV4-C	EXT-CP925-117	LIB-CP925-117-A-1	T2-mc1-tk2-HGm05	T2_mc1_tk2_05	5	sample	high	T2	MC1	tk2	MC1
MQ211210-178	abV4-C	EXT-CP925-163	LIB-CP925-163-A-1	T2-mc2-tk1-HGm05	T2_mc2_tk1_05	5	sample	high	T2	MC2	tk1	MC2
MQ211210-111	abV4-C	EXT-CP925-107	LIB-CP925-107-A-1	T3-mc2-tk1-HGm07	T3_mc2_tk1_07	7	sample	high	T3	MC2	tk1	MC2
MQ211210-77	abV4-C	EXT-CP925-73	LIB-CP925-73-A-1	T2-mc1-tk3-HGm01	T2_mc1_tk3_01	1	sample	high	T2	MC1	tk3	MC1
MQ211210-39	abV4-C	EXT-CP925-37	LIB-CP925-37-A-1	T3-mc2-tk2-HGm07	T3_mc2_tk2_07	7	sample	low	T3	MC2	tk2	MC2
MQ211210-50	abV4-C	EXT-CP925-46	LIB-CP925-46-A-1	T2-ctr-tk1-HGm07	T2_ctr_tk1_07	7	sample	low	T2	CTR	tk1	CTR
MQ211210-33	abV4-C	EXT-CP925-31	LIB-CP925-31-A-1	T1-ctr-tk1-HGm03	T1_ctr_tk1_03	3	sample	low	T1	CTR	tk1	CTR
MQ211210-176	abV4-C	EXT-CP925-161	LIB-CP925-161-A-1	T3-mc2-tk1-HGm05	T3_mc2_tk1_05	5	sample	high	T3	MC2	tk1	MC2
MQ211210-181	abV4-C	EXT-CP925-166	LIB-CP925-166-A-1	T2-mc1-tk3-HGm03	T2_mc1_tk3_03	3	sample	high	T2	MC1	tk3	MC1
MQ211210-2	abV4-C	EXT-CP925-02	LIB-CP925-02-A-1	T2-mc1-tk1-HGm07	T2_mc1_tk1_07	7	sample	low	T2	MC1	tk1	MC1
MQ211210-8	abV4-C	EXT-CP925-08	LIB-CP925-08-A-1	T2-mc1-tk3-HGm07	T2_mc1_tk3_07	7	sample	high	T2	MC1	tk3	MC1
MQ211210-103	abV4-C	EXT-CP925-99	LIB-CP925-99-A-1	T2-mc1-tk3-HGm05	T2_mc1_tk3_05	5	sample	low	T2	MC1	tk3	MC1
MQ211210-184	abV4-C	EXT-CP925-169	LIB-CP925-169-A-1	T3-mc1-tk3-HGm03	T3_mc1_tk3_03	3	sample	high	T3	MC1	tk3	MC1
