SampleID	libType	extID	libID	sampleName	ID	sampleNumber	sampleType	samplePool	samplingTime	sampleDiet	samplingTank	New_Diet
MQ211210-19	abV4-C	EXT-CP925-19	LIB-CP925-19-A-1	T1-mc2-tk1-HGm07	T1_mc2_tk1_07	7	sample	low	T1	MC2	tk1	MC2
MQ211210-119	abV4-C	EXT-CP925-115	LIB-CP925-115-A-1	T3-mn3-tk2-HGm07	T3_mn3_tk2_07	7	sample	high	T3	MN3	tk2	MN3
MQ211210-125	abV4-C	EXT-CP925-119	LIB-CP925-119-A-1	T0-ctr-tk1-HGm02	T0_ctr_tk1_02	2	sample	low	T0	CTR	tk1	CTR
MQ211210-137	abV4-C	EXT-CP925-131	LIB-CP925-131-A-1	T2-mn3-tk2-HGm03	T2_mn3_tk2_03	3	sample	low	T2	MN3	tk2	MN3
MQ211210-11	abV4-C	EXT-CP925-11	LIB-CP925-11-A-1	T1-mn3-tk1-HGm07	T1_mn3_tk1_07	7	sample	low	T1	MN3	tk1	MN3
MQ211210-151	abV4-C	EXT-CP925-145	LIB-CP925-145-A-1	CL2C	CL2C		ext-ctrl	ext-ctrl	ext-ctrl	ext-ctrl	ext-ctrl	ext-ctrl
MQ211210-102	abV4-C	EXT-CP925-98	LIB-CP925-98-A-1	T2-mn3-tk1-HGm01	T2_mn3_tk1_01	1	sample	high	T2	MN3	tk1	MN3
MQ211210-171	abV4-C	EXT-CP925-156	LIB-CP925-156-A-1	T2-mn3-tk3-HGm03	T2_mn3_tk3_03	3	sample	high	T2	MN3	tk3	MN3
MQ211210-57	abV4-C	EXT-CP925-53	LIB-CP925-53-A-1	T3-mn3-tk2-HGm03	T3_mn3_tk2_03	3	sample	high	T3	MN3	tk2	MN3
MQ211210-127	abV4-C	EXT-CP925-121	LIB-CP925-121-A-1	T2-mn3-tk3-HGm01	T2_mn3_tk3_01	1	sample	high	T2	MN3	tk3	MN3
MQ211210-49	abV4-C	EXT-CP925-45	LIB-CP925-45-A-1	T2-ctr-tk1-HGm01	T2_ctr_tk1_01	1	sample	high	T2	CTR	tk1	CTR
MQ211210-24	abV4-C	EXT-CP925-24	LIB-CP925-24-A-1	T3-mn3-tk2-HGm05	T3_mn3_tk2_05	5	sample	high	T3	MN3	tk2	MN3
MQ211210-128	abV4-C	EXT-CP925-122	LIB-CP925-122-A-1	T2-ctr-tk1-HGm03	T2_ctr_tk1_03	3	sample	low	T2	CTR	tk1	CTR
MQ211210-75	abV4-C	EXT-CP925-71	LIB-CP925-71-A-1	T2-mn3-tk3-HGm07	T2_mn3_tk3_07	7	sample	high	T2	MN3	tk3	MN3
MQ211210-6	abV4-C	EXT-CP925-06	LIB-CP925-06-A-1	T2-mn3-tk3-HGm05	T2_mn3_tk3_05	5	sample	low	T2	MN3	tk3	MN3
MQ211210-53	abV4-C	EXT-CP925-49	LIB-CP925-49-A-1	T3-mn3-tk3-HGm07	T3_mn3_tk3_07	7	sample	high	T3	MN3	tk3	MN3
MQ211210-142	abV4-C	EXT-CP925-136	LIB-CP925-136-A-1	T1-mc2-tk1-HGm03	T1_mc2_tk1_03	3	sample	high	T1	MC2	tk1	MC2
