,Time,Diet,New_Diet,Tank_number,Sample_Type,Sample_Number,ID,BW,Length,Sex,Gut_struc,Gut_light,Anus_bleed,Gut_bleed,Fat_Score,Heart_Sco,softliver,patchy_liver,Liver_Sco,HSI,CSI,ID_New,common
T1_MN3_tk2_03,T1,MC2,MN3,tk2,Hind_Gut,3,T1_MC2_tk2_3,130.8,21.2,1,0,1,0,1,2.5,0,0,0,4,1.345565749,0.148318043,T1_MN3_tk2_03,T1_MC2_tk2_03
T1_MC2_tk2_07,T1,MN3,MC2,tk2,Hind_Gut,7,T1_MN3_tk2_7,91.34,19,1,0,1,0,0,2.5,0,0,0,2.5,NA,0.12809284,T1_MC2_tk2_07,T1_MN3_tk2_07
T1_MC2_tk2_01,T1,MN3,MC2,tk2,Hind_Gut,1,T1_MN3_tk2_1,112.14,20.4,1,0,1,NA,0,3.5,0.5,0,0,3.5,1.301943999,0.158730159,T1_MC2_tk2_01,T1_MN3_tk2_01
T2_MC1_tk3_01,T2,MC1,MC1,tk3,Hind_Gut,1,T2_MC1_tk3_1,97.05,20.6,0,0,1,0,0,2,0,1,0,3,0.752189593,0.132921175,T2_MC1_tk3_01,T2_MC1_tk3_01
T2_MC1_tk1_01,T2,MC1,MC1,tk1,Hind_Gut,1,T2_MC1_tk1_1,111.7,21.3,0,0,1,NA,0,2,0.5,0,0,3,0.78782453,0.155774396,T2_MC1_tk1_01,T2_MC1_tk1_01
T2_MC1_tk3_03,T2,MC1,MC1,tk3,Hind_Gut,3,T2_MC1_tk3_3,102.4,21.2,1,1,1,1,0,2.5,0.5,0,0,3,0.751953125,0.155273438,T2_MC1_tk3_03,T2_MC1_tk3_03
T2_MC1_tk1_03,T2,MC1,MC1,tk1,Hind_Gut,3,T2_MC1_tk1_3,130,22,1,0,1,1,0,2,0,0,0,3,0.953846154,0.167692308,T2_MC1_tk1_03,T2_MC1_tk1_03
T1_MC2_tk2_03,T1,MN3,MC2,tk2,Hind_Gut,3,T1_MN3_tk2_3,61.21,16.5,1,1,1,NA,0,3,0,0,0,3,1.339650384,0.166639438,T1_MC2_tk2_03,T1_MN3_tk2_03
T2_MC1_tk1_05,T2,MC1,MC1,tk1,Hind_Gut,5,T2_MC1_tk1_5,123.7,22,0,0,1,NA,0,3,0,0,0,2.5,0.695230396,0.154405821,T2_MC1_tk1_05,T2_MC1_tk1_05
T2_MC1_tk3_07,T2,MC1,MC1,tk3,Hind_Gut,7,T2_MC1_tk3_7,170,24.3,1,0,1,1,0,1.5,0.5,0,0,3,0.929411765,0.198235294,T2_MC1_tk3_07,T2_MC1_tk3_07
T2_MC1_tk1_07,T2,MC1,MC1,tk1,Hind_Gut,7,T2_MC1_tk1_7,126.9,22.5,1,0,1,0,0,2,0,0,0,3.5,0.874704492,0.151300236,T2_MC1_tk1_07,T2_MC1_tk1_07
T1_MC2_tk2_05,T1,MN3,MC2,tk2,Hind_Gut,5,T1_MN3_tk2_5,77.45,18,1,0,1,NA,0,2.5,0,0,0,3.5,1.497740478,0.136862492,T1_MC2_tk2_05,T1_MN3_tk2_05
T2_MC1_tk2_03,T2,MC1,MC1,tk2,Hind_Gut,3,T2_MC1_tk2_3,106,21.8,1,0,1,NA,0,3.5,0,0,0,3.5,0.603773585,0.136792453,T2_MC1_tk2_03,T2_MC1_tk2_03
T3_MC1_tk1_01,T3,MC1,MC1,tk1,Hind_Gut,1,T3_MC1_tk1_1,174,25,0,0,1,NA,0,1.5,1,0,0,2,1.551724138,0.188505747,T3_MC1_tk1_01,T3_MC1_tk1_01
T3_MC1_tk3_01,T3,MC1,MC1,tk3,Hind_Gut,1,T3_MC1_tk3_1,151,23.8,1,0,1,NA,0,1.5,1.5,1,0,1,NA,0.186092715,T3_MC1_tk3_01,T3_MC1_tk3_01
T2_MC1_tk2_07,T2,MC1,MC1,tk2,Hind_Gut,7,T2_MC1_tk2_7,104.2,26,0,1,1,NA,0,3,0,0,0,3.5,0.681381958,0.166026871,T2_MC1_tk2_07,T2_MC1_tk2_07
T3_MC1_tk3_03,T3,MC1,MC1,tk3,Hind_Gut,3,T3_MC1_tk3_3,198,24.8,1,0,0,NA,0,2,0.5,1,1,1,1.161616162,0.161111111,T3_MC1_tk3_03,T3_MC1_tk3_03
T3_MC1_tk1_05,T3,MC1,MC1,tk1,Hind_Gut,5,T3_MC1_tk1_5,192,25.2,1,0,1,NA,0,2,0.5,1,0,2,1.614583333,0.173958333,T3_MC1_tk1_05,T3_MC1_tk1_05
T3_MC1_tk2_01,T3,MC1,MC1,tk2,Hind_Gut,1,T3_MC1_tk2_1,214,26,1,0,1,1,0,2,0,0,0,2,1.355140187,0.178971963,T3_MC1_tk2_01,T3_MC1_tk2_01
T3_MC1_tk3_05,T3,MC1,MC1,tk3,Hind_Gut,5,T3_MC1_tk3_5,240,27,0,0,1,1,0,2,0,0,0,2,1.291666667,0.1625,T3_MC1_tk3_05,T3_MC1_tk3_05
T3_MC1_tk3_07,T3,MC1,MC1,tk3,Hind_Gut,7,T3_MC1_tk3_7,216,26.2,0,0,1,0,0,2,0,0,0,2,1.203703704,0.172685185,T3_MC1_tk3_07,T3_MC1_tk3_07
T3_MC1_tk1_07,T3,MC1,MC1,tk1,Hind_Gut,7,T3_MC1_tk1_7,195,25.2,1,0,1,NA,0,2,0,0,0,1,1.333333333,0.141538462,T3_MC1_tk1_07,T3_MC1_tk1_07
T3_MC1_tk2_03,T3,MC1,MC1,tk2,Hind_Gut,3,T3_MC1_tk2_3,175,23,0,1,1,0,0,2,0.5,0,0,1,1.314285714,0.150857143,T3_MC1_tk2_03,T3_MC1_tk2_03
T2_MC2_tk3_01,T2,MC2,MC2,tk3,Hind_Gut,1,T2_MC2_tk3_1,111.7,20.8,1,0,1,NA,0,1.5,0,0,0,3,1.011638317,0.166517457,T2_MC2_tk3_01,T2_MC2_tk3_01
T3_MC2_tk1_01,T3,MC2,MC2,tk1,Hind_Gut,1,T3_MC2_tk1_1,221,24,1,0,1,0,0,1,0.5,0,0,1,1.384615385,0.185972851,T3_MC2_tk1_01,T3_MC2_tk1_01
T3_MC1_tk2_05,T3,MC1,MC1,tk2,Hind_Gut,5,T3_MC1_tk2_5,156,22.7,0,0,1,1,0,2,0,0,0,2,1.282051282,0.155128205,T3_MC1_tk2_05,T3_MC1_tk2_05
T2_MC2_tk1_03,T2,MC2,MC2,tk1,Hind_Gut,3,T2_MC2_tk1_3,110.02,21.7,1,0,1,NA,0,4,0,0,0,3,0.654426468,0.162697691,T2_MC2_tk1_03,T2_MC2_tk1_03
T3_MC2_tk1_03,T3,MC2,MC2,tk1,Hind_Gut,3,T3_MC2_tk1_3,205,25.7,NA,0,1,1,0,2,0.5,0,0,1,1.317073171,0.159512195,T3_MC2_tk1_03,T3_MC2_tk1_03
T2_MC1_tk2_01,T2,MC1,MC1,tk2,Hind_Gut,1,T2_MC1_tk2_1,107,21.3,0,0,1,NA,1,3,0,0,0,3,0.663551402,0.158878505,T2_MC1_tk2_01,T2_MC1_tk2_01
T3_MC2_tk3_03,T3,MC2,MC2,tk3,Hind_Gut,3,T3_MC2_tk3_3,180,24.2,1,0,1,NA,0,1.5,0,0,0,2,1.405555556,0.165555556,T3_MC2_tk3_03,T3_MC2_tk3_03
T1_MC2_tk1_01,T1,MC2,MC2,tk1,Hind_Gut,1,T1_MC2_tk1_1,99,19,0,0,1,0,0,2,0,0,0,3,1.505050505,0.106060606,T1_MC2_tk1_01,T1_MC2_tk1_01
T1_MC2_tk1_03,T1,MC2,MC2,tk1,Hind_Gut,3,T1_MC2_tk1_3,70.6,16.8,NA,0,1,NA,0,2,0,0,0,3,2.478753541,0.133144476,T1_MC2_tk1_03,T1_MC2_tk1_03
