,Time,Diet,New_Diet,Tank_number,Sample_Type,Sample_Number,ID,BW,Length,Sex,Gut_struc,Gut_light,Anus_bleed,Gut_bleed,Fat_Score,Heart_Sco,softliver,patchy_liver,Liver_Sco,HSI,CSI,ID_New,common
T1_MC2_tk3_03,T1,MC1,MC2,tk3,Hind_Gut,3,T1_MC1_tk3_3,57.6,16.3,NA,1,1,NA,1,2.5,0,0,0,2.5,1.423611111,0.105902778,T1_MC2_tk3_03,T1_MC1_tk3_03
T2_MN3_tk3_01,T2,MN3,MN3,tk3,Hind_Gut,1,T2_MN3_tk3_1,192.9,25.3,1,0,1,0,0,2,0,0,0,3,0.798341109,0.118195956,T2_MN3_tk3_01,T2_MN3_tk3_01
T3_MN3_tk3_01,T3,MN3,MN3,tk3,Hind_Gut,1,T3_MN3_tk3_1,229,26.8,0,0,1,NA,0,1,0,1,1,1,2.008733624,0.158515284,T3_MN3_tk3_01,T3_MN3_tk3_01
T1_CTR_tk3_01,T1,MC2,CTR,tk3,Hind_Gut,1,T1_MC2_tk3_1,67.63,17.5,1,0,1,NA,0,2,0,0,0,3.5,1.242052344,0.109418897,T1_CTR_tk3_01,T1_MC2_tk3_01
T2_MN3_tk3_03,T2,MN3,MN3,tk3,Hind_Gut,3,T2_MN3_tk3_3,125.2,21.2,NA,0,1,1,0,2,0.5,1,0,3,0.71086262,0.131789137,T2_MN3_tk3_03,T2_MN3_tk3_03
T3_MN3_tk1_03,T3,MN3,MN3,tk1,Hind_Gut,3,T3_MN3_tk1_3,220,27.2,1,0,1,0,0,2,0.5,0,0,2,1.454545455,0.160909091,T3_MN3_tk1_03,T3_MN3_tk1_03
T1_CTR_tk3_03,T1,MC2,CTR,tk3,Hind_Gut,3,T1_MC2_tk3_3,79.16,17.8,0,0,1,NA,0,2.5,0,0,0,4,1.490651844,0.13011622,T1_CTR_tk3_03,T1_MC2_tk3_03
T2_MC2_tk2_01,T2,MC2,MC2,tk2,Hind_Gut,1,T2_MC2_tk2_1,121,22,0,0,1,NA,1,2,0,1,0,3.5,0.950413223,0.145454545,T2_MC2_tk2_01,T2_MC2_tk2_01
T3_MC2_tk2_05,T3,MC2,MC2,tk2,Hind_Gut,5,T3_MC2_tk2_5,131,23.6,0,1,1,1,1,1.5,0,1,0,2,1.755725191,0.206870229,T3_MC2_tk2_05,T3_MC2_tk2_05
T1_CTR_tk3_05,T1,MC2,CTR,tk3,Hind_Gut,5,T1_MC2_tk3_5,64.74,17,0,0,1,NA,0,2.5,0,0,0,3.5,1.359283287,0.126660488,T1_CTR_tk3_05,T1_MC2_tk3_05
T3_MN3_tk3_05,T3,MN3,MN3,tk3,Hind_Gut,5,T3_MN3_tk3_5,182,24,0,0,1,1,0,1.5,0.5,1,0,1,1.373626374,0.168681319,T3_MN3_tk3_05,T3_MN3_tk3_05
T1_CTR_tk3_07,T1,MC2,CTR,tk3,Hind_Gut,7,T1_MC2_tk3_7,92.04,18.8,1,0,1,NA,0,2,0.5,0,0,4,1.390699696,0.140156454,T1_CTR_tk3_07,T1_MC2_tk3_07
T1_MC1_tk3_01,T1,MN3,MC1,tk3,Hind_Gut,1,T1_MN3_tk3_1,60.8,16.7,1,0,1,NA,0,3,0,0,0,3,1.266447368,0.110197368,T1_MC1_tk3_01,T1_MN3_tk3_01
T2_MN3_tk3_05,T2,MN3,MN3,tk3,Hind_Gut,5,T2_MN3_tk3_5,123.6,22.2,1,0,1,0,0,3,0.5,1,0,3,0.631067961,0.114886731,T2_MN3_tk3_05,T2_MN3_tk3_05
T3_MN3_tk1_05,T3,MN3,MN3,tk1,Hind_Gut,5,T3_MN3_tk1_5,145,22.5,0,0,1,0,0,1,0,0,0,1,1.379310345,0.183448276,T3_MN3_tk1_05,T3_MN3_tk1_05
T1_MC1_tk3_03,T1,MN3,MC1,tk3,Hind_Gut,3,T1_MN3_tk3_3,67.97,17.2,1,1,1,0,0,2.5,0,0,0,3,1.397675445,0.108871561,T1_MC1_tk3_03,T1_MN3_tk3_03
T1_MN3_tk1_01,T1,MN3,MN3,tk1,Hind_Gut,1,T1_MN3_tk1_1,73.58,17.4,1,0,1,NA,0,3,0,0,0,3,1.359064963,0.116879587,T1_MN3_tk1_01,T1_MN3_tk1_01
T1_MN3_tk1_03,T1,MN3,MN3,tk1,Hind_Gut,3,T1_MN3_tk1_3,87.98,18.7,0,1,1,0,0,3,NA,0,0,3,1.500340987,NA,T1_MN3_tk1_03,T1_MN3_tk1_03
T1_MN3_tk1_05,T1,MN3,MN3,tk1,Hind_Gut,5,T1_MN3_tk1_5,91.09,18.9,0,0,1,NA,0,2.5,NA,0,0,3,1.394225491,NA,T1_MN3_tk1_05,T1_MN3_tk1_05
T3_MN3_tk1_07,T3,MN3,MN3,tk1,Hind_Gut,7,T3_MN3_tk1_7,167,23.6,1,0,1,1,0,1.5,0.5,0,1,2,1.25748503,0.177844311,T3_MN3_tk1_07,T3_MN3_tk1_07
T3_MN3_tk3_07,T3,MN3,MN3,tk3,Hind_Gut,7,T3_MN3_tk3_7,183,24.6,1,0,0,NA,0,1,0.5,1,0,1.5,1.693989071,0.161748634,T3_MN3_tk3_07,T3_MN3_tk3_07
T1_MN3_tk1_07,T1,MN3,MN3,tk1,Hind_Gut,7,T1_MN3_tk1_7,78.68,18.1,1,0,1,0,0,3,0,0,0,3,1.664972039,0.152516523,T1_MN3_tk1_07,T1_MN3_tk1_07
T2_MN3_tk1_07,T2,MN3,MN3,tk1,Hind_Gut,7,T2_MN3_tk1_7,118.5,22.1,1,1,0,1,0,3,0,0,0,4,0.818565401,0.143459916,T2_MN3_tk1_07,T2_MN3_tk1_07
T1_MC1_tk3_05,T1,MN3,MC1,tk3,Hind_Gut,5,T1_MN3_tk3_5,61.66,16.6,1,0,1,0,0,3,0,0,0,4,1.686668829,0.103795005,T1_MC1_tk3_05,T1_MN3_tk3_05
T3_MN3_tk2_01,T3,MN3,MN3,tk2,Hind_Gut,1,T3_MN3_tk2_1,188,25.3,1,0,0,0,0,2,0,0,0,2,1.382978723,0.163297872,T3_MN3_tk2_01,T3_MN3_tk2_01
T2_CTR_tk3_01,T2,CTR,CTR,tk3,Hind_Gut,1,T2_CTR_tk3_1,171.1,24.8,1,0,1,0,1,3,0,0,0,3,0.841613092,0.106954997,T2_CTR_tk3_01,T2_CTR_tk3_01
T2_CTR_tk1_03,T2,CTR,CTR,tk1,Hind_Gut,3,T2_CTR_tk1_3,73,18.2,0,1,1,NA,1,3,0,0,0,3.5,0.698630137,0.179452055,T2_CTR_tk1_03,T2_CTR_tk1_03
T2_MN3_tk2_01,T2,MN3,MN3,tk2,Hind_Gut,1,T2_MN3_tk2_1,110,20,0,0,1,NA,0,2,0.5,0,0,3,0.681818182,0.178181818,T2_MN3_tk2_01,T2_MN3_tk2_01
T2_CTR_tk1_07,T2,CTR,CTR,tk1,Hind_Gut,7,T2_CTR_tk1_7,72.6,18.3,0,0,1,NA,1,2,0,0,0,2.5,0.730027548,0.151515152,T2_CTR_tk1_07,T2_CTR_tk1_07
T2_MN3_tk2_03,T2,MN3,MN3,tk2,Hind_Gut,3,T2_MN3_tk2_3,109.7,19.8,1,0,1,NA,0,2,0,1,0,2,0.838650866,0.137648131,T2_MN3_tk2_03,T2_MN3_tk2_03
T3_MN3_tk2_03,T3,MN3,MN3,tk2,Hind_Gut,3,T3_MN3_tk2_3,245,26.9,0,0,1,1,0,1.5,0,1,0,1.5,1.183673469,0.16244898,T3_MN3_tk2_03,T3_MN3_tk2_03
T2_MC1_tk3_05,T2,MC1,MC1,tk3,Hind_Gut,5,T2_MC1_tk3_5,92.4,20.3,1,0,1,NA,1,2,0,1,0,3,0.865800866,0.182900433,T2_MC1_tk3_05,T2_MC1_tk3_05
T3_MC1_tk1_03,T3,MC1,MC1,tk1,Hind_Gut,3,T3_MC1_tk1_3,176,24.4,1,0,1,0,1,2,1,0,0,2,1.931818182,NA,T3_MC1_tk1_03,T3_MC1_tk1_03
T2_MN3_tk2_05,T2,MN3,MN3,tk2,Hind_Gut,5,T2_MN3_tk2_5,110.9,21.3,1,0,1,1,0,3,0,0,0,3,0.81154193,0.131650135,T2_MN3_tk2_05,T2_MN3_tk2_05
T3_MC2_tk3_01,T3,MC2,MC2,tk3,Hind_Gut,1,T3_MC2_tk3_1,202,25.3,1,0,1,NA,1,1,0,0,1,1,1.475247525,0.132178218,T3_MC2_tk3_01,T3_MC2_tk3_01
T3_MN3_tk2_05,T3,MN3,MN3,tk2,Hind_Gut,5,T3_MN3_tk2_5,168,23.8,1,0,1,0,0,2,0,1,0,1,1.339285714,0.167261905,T3_MN3_tk2_05,T3_MN3_tk2_05
T1_MC1_tk3_07,T1,MN3,MC1,tk3,Hind_Gut,7,T1_MN3_tk3_7,66.14,17,1,0,1,NA,0,2.5,0,0,0,3,1.587541578,0.133051104,T1_MC1_tk3_07,T1_MN3_tk3_07
T2_MN3_tk1_01,T2,MN3,MN3,tk1,Hind_Gut,1,T2_MN3_tk1_1,154,23.4,0,0,1,NA,1,3,0,0,0,3,0.785714286,0.137012987,T2_MN3_tk1_01,T2_MN3_tk1_01
T2_MN3_tk1_03,T2,MN3,MN3,tk1,Hind_Gut,3,T2_MN3_tk1_3,149,23.3,0,0,1,NA,1,3,0.5,0,0,4,0.805369128,0.123489933,T2_MN3_tk1_03,T2_MN3_tk1_03
T3_MN3_tk3_03,T3,MN3,MN3,tk3,Hind_Gut,3,T3_MN3_tk3_3,163,23.8,0,0,1,NA,1,1.5,0,0,1,2,1.595092025,0.147852761,T3_MN3_tk3_03,T3_MN3_tk3_03
T2_MN3_tk1_05,T2,MN3,MN3,tk1,Hind_Gut,5,T2_MN3_tk1_5,118,21.5,0,0,1,NA,1,3,0,0,0,4,0.677966102,0.124576271,T2_MN3_tk1_05,T2_MN3_tk1_05
T2_MN3_tk2_07,T2,MN3,MN3,tk2,Hind_Gut,7,T2_MN3_tk2_7,91.5,18.2,1,1,1,NA,0,2,0,1,0,2.5,0.732240437,0.205464481,T2_MN3_tk2_07,T2_MN3_tk2_07
T2_MN3_tk3_07,T2,MN3,MN3,tk3,Hind_Gut,7,T2_MN3_tk3_7,109.4,21.7,1,0,1,NA,1,3,0,0,0,3,0.50274223,0.145338208,T2_MN3_tk3_07,T2_MN3_tk3_07
T3_MN3_tk2_07,T3,MN3,MN3,tk2,Hind_Gut,7,T3_MN3_tk2_7,204,26,0,0,1,1,0,2,0.5,0,0,2,1.12745098,0.153921569,T3_MN3_tk2_07,T3_MN3_tk2_07
